team,fullName,birthDate,currentAge,birthCity,birthCountry,nationality,height,weight,active,captain,alternateCaptain,rookie,shootsCatches,rosterStatus,primaryNumber,position,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,PTS/60
NJD,Jesper Bratt,1998-07-30,24,Stockholm,SWE,SWE,"5' 10""",175,True,False,False,False,L,Y,63,LW,34:07,3,0,2,5,2,0,0,1,03:46,30:14,2,0.0,0.0,0,0,0,0,00:07,0,-1,3,47,17:03,15:07,00:03,01:53,5.278592375366569
NJD,Nathan Bastian,1997-12-06,24,Kitchener,CAN,CAN,"6' 4""",205,True,False,False,False,R,Y,14,RW,08:25,0,0,2,1,1,1,0,0,00:00,06:54,2,0.0,0.0,0,0,0,0,01:31,0,0,0,17,08:25,06:54,01:31,00:00,0.0
NJD,Michael McLeod,1998-02-03,24,Mississauga,CAN,CAN,"6' 2""",190,True,False,False,False,R,Y,20,C,14:23,0,0,0,0,2,2,0,0,00:00,10:23,0,44.44,0.0,0,0,0,0,04:00,0,-1,0,27,07:11,05:11,02:00,00:00,0.0
NJD,Nico Hischier,1999-01-04,23,Brig,CHE,CHE,"6' 1""",175,True,True,False,False,L,Y,13,C,17:16,0,0,0,3,1,1,0,0,02:31,13:45,0,68.75,0.0,0,0,0,0,01:00,0,-3,0,26,17:16,13:45,01:00,02:31,0.0
NJD,Jesper Boqvist,1998-10-30,23,Falun,SWE,SWE,"6' 0""",180,True,False,False,False,L,Y,70,C,10:59,0,0,0,1,1,2,0,0,00:00,10:54,0,60.0,0.0,0,0,0,0,00:05,2,-1,0,17,10:59,10:54,00:05,00:00,0.0
NJD,Fabian Zetterlund,1999-08-25,23,Karlstad,SWE,SWE,"5' 11""",220,True,False,False,True,R,Y,49,LW,09:40,1,0,0,1,1,1,0,0,00:00,09:40,0,0.0,0.0,0,0,0,0,00:00,0,1,1,16,09:40,09:40,00:00,00:00,6.206896551724139
NJD,Kevin Bahl,2000-06-27,22,New Westminster,CAN,CAN,"6' 6""",230,True,False,False,False,L,Y,88,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJD,Yegor Sharangovich,1998-06-06,24,Minsk,BLR,BLR,"6' 2""",196,True,False,False,False,L,Y,17,C,27:30,0,0,0,4,2,0,0,0,00:09,21:21,0,0.0,0.0,0,0,0,0,06:00,2,0,0,41,13:45,10:40,03:00,00:04,0.0
NJD,Jack Hughes,2001-05-14,21,Orlando,USA,USA,"5' 11""",175,True,False,True,False,L,Y,86,C,46:21,0,0,0,8,2,1,0,0,06:23,39:25,0,36.0,0.0,0,0,0,0,00:33,0,-3,0,47,23:10,19:42,00:16,03:11,0.0
NJD,Dawson Mercer,2001-10-27,20,Carbonear,CAN,CAN,"6' 0""",180,True,False,False,False,R,Y,91,C,34:12,1,0,4,11,2,2,0,1,02:51,29:19,4,50.0,0.0,0,0,0,0,02:02,1,-3,1,44,17:06,14:39,01:01,01:25,1.7543859649122806
NJD,Alexander Holtz,2002-01-23,20,Stockholm,SWE,SWE,"6' 0""",195,True,False,False,True,R,Y,10,RW,23:56,0,1,0,6,2,0,1,1,04:14,19:42,0,0.0,16.7,0,0,0,0,00:00,1,-2,1,29,11:58,09:51,00:00,02:07,2.5069637883008355
NYI,Sebastian Aho,1996-02-17,26,Umea,SWE,SWE,"5' 10""",186,True,False,False,False,L,Y,25,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYI,Zach Parise,1984-07-28,38,Minneapolis,USA,USA,"5' 11""",195,True,False,False,False,L,Y,11,LW,30:16,1,0,0,6,2,0,0,0,03:44,22:02,0,0.0,0.0,0,0,0,0,04:30,2,1,1,40,15:08,11:01,02:15,01:52,1.9823788546255507
NYI,Cal Clutterbuck,1987-11-18,34,Welland,CAN,CAN,"6' 0""",212,True,False,False,False,R,Y,15,RW,12:03,0,0,0,3,1,4,0,0,00:04,09:06,0,0.0,0.0,0,0,0,0,02:53,0,1,0,20,12:03,09:06,02:53,00:04,0.0
NYI,Josh Bailey,1989-10-02,33,Bowmanville,CAN,CAN,"6' 1""",200,True,False,False,False,L,Y,12,RW,30:15,0,0,0,3,2,0,0,0,04:55,22:03,0,0.0,0.0,0,0,0,0,03:17,1,0,0,40,15:07,11:01,01:38,02:27,0.0
NYI,Matt Martin,1989-05-08,33,Windsor,CAN,CAN,"6' 3""",220,True,False,False,False,L,Y,17,LW,18:44,1,0,2,0,2,9,0,0,00:05,18:39,2,0.0,0.0,0,0,0,0,00:00,1,0,1,28,09:22,09:19,00:00,00:02,3.202846975088968
NYI,Kyle Palmieri,1991-02-01,31,Smithtown,USA,USA,"5' 11""",198,True,False,False,False,R,Y,21,C,31:16,0,0,0,3,2,2,0,0,06:26,24:36,0,66.67,0.0,0,0,0,0,00:14,0,2,0,40,15:38,12:18,00:07,03:13,0.0
NYI,Casey Cizikas,1991-02-27,31,Toronto,CAN,CAN,"5' 11""",190,True,False,False,False,L,Y,53,C,25:08,0,0,0,2,2,5,0,0,00:08,18:51,0,71.43,0.0,0,0,0,0,06:09,2,0,0,42,12:34,09:25,03:04,00:04,0.0
NYI,Anders Lee,1990-07-03,32,Edina,USA,USA,"6' 3""",235,True,True,False,False,L,Y,27,LW,34:09,3,0,4,3,2,2,0,0,08:14,25:55,4,60.0,0.0,0,0,0,0,00:00,2,1,3,45,17:04,12:57,00:00,04:07,5.2734375
NYI,Brock Nelson,1991-10-15,31,Warroad,USA,USA,"6' 4""",210,True,False,False,False,L,Y,29,C,36:57,2,0,2,3,2,1,0,1,06:54,27:59,2,62.79,0.0,0,0,0,0,02:04,4,1,2,45,18:28,13:59,01:02,03:27,3.249097472924188
NYI,Jean-Gabriel Pageau,1992-11-11,29,Ottawa,CAN,CAN,"5' 11""",185,True,False,False,False,R,Y,44,C,32:28,1,0,0,5,2,5,0,0,03:47,21:02,0,57.45,0.0,0,0,0,0,07:39,3,-1,1,47,16:14,10:31,03:49,01:53,1.8480492813141682
NYI,Scott Mayfield,1992-10-14,30,St. Louis,USA,USA,"6' 5""",220,True,False,False,False,R,Y,24,D,36:40,0,2,2,5,2,2,0,0,00:04,28:16,2,0.0,40.0,0,0,0,0,08:20,4,1,2,45,18:20,14:08,04:10,00:02,3.272727272727273
NYI,Adam Pelech,1994-08-16,28,Toronto,CAN,CAN,"6' 3""",210,True,False,False,False,L,Y,3,D,40:43,0,0,4,3,2,4,0,0,00:11,34:05,4,0.0,0.0,0,0,0,0,06:27,3,2,0,52,20:21,17:02,03:13,00:05,0.0
NYI,Ryan Pulock,1994-10-06,28,Dauphin,CAN,CAN,"6' 2""",216,True,False,False,False,R,Y,6,D,37:12,1,0,0,7,2,4,0,0,00:07,30:35,0,0.0,0.0,0,0,0,0,06:30,5,3,1,47,18:36,15:17,03:15,00:03,1.6129032258064515
NYI,Ross Johnston,1994-02-18,28,Charlottetown,CAN,CAN,"6' 5""",230,True,False,False,False,L,Y,32,LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYI,Nikita Soshnikov,1993-10-14,29,Nizhny Tagil,RUS,RUS,"5' 11""",190,True,False,False,False,L,Y,41,RW,11:06,0,0,0,2,1,3,0,0,00:00,09:01,0,0.0,0.0,0,0,0,0,02:05,0,-1,0,19,11:06,09:01,02:05,00:00,0.0
NYI,Mathew Barzal,1997-05-26,25,Coquitlam,CAN,CAN,"6' 1""",190,True,False,False,False,R,Y,13,C,37:23,3,0,2,7,2,0,0,1,08:37,28:35,2,28.57,0.0,0,0,0,0,00:11,0,1,3,42,18:41,14:17,00:05,04:18,4.817127564674398
NYI,Anthony Beauvillier,1997-06-08,25,Sorel-Tracy,CAN,CAN,"5' 11""",180,True,False,False,False,L,Y,18,LW,35:14,1,1,0,3,2,2,0,0,04:51,28:44,0,0.0,33.3,0,0,0,0,01:39,1,1,2,40,17:37,14:22,00:49,02:25,3.4058656575212867
NYI,Kieffer Bellows,1998-06-10,24,Edina,USA,USA,"6' 1""",195,True,False,False,False,L,Y,20,LW,07:16,0,0,0,0,1,3,0,0,00:00,07:16,0,0.0,0.0,0,0,0,0,00:00,0,-1,0,10,07:16,07:16,00:00,00:00,0.0
NYI,Robin Salo,1998-10-13,24,Espoo,FIN,FIN,"6' 2""",190,True,False,False,True,L,Y,2,D,28:33,0,2,4,4,2,0,0,0,05:19,22:56,4,0.0,50.0,0,0,0,0,00:18,2,2,2,36,14:16,11:28,00:09,02:39,4.205607476635514
NYI,Oliver Wahlstrom,2000-06-13,22,Portland,USA,USA,"6' 2""",204,True,False,False,False,R,Y,26,RW,09:44,1,1,0,2,1,2,0,0,00:00,09:44,0,0.0,50.0,0,0,0,0,00:00,0,2,2,13,09:44,09:44,00:00,00:00,12.328767123287673
NYI,Noah Dobson,2000-01-07,22,Summerside,CAN,CAN,"6' 4""",194,True,False,False,False,R,Y,8,D,43:05,0,2,0,8,2,1,1,1,06:36,34:38,0,0.0,25.0,1,0,0,0,01:51,1,-1,2,47,21:32,17:19,00:55,03:18,2.786377708978328
NYI,Alexander Romanov,2000-01-06,22,Moscow,RUS,RUS,"6' 1""",215,True,False,False,False,L,Y,28,D,41:31,0,0,2,2,2,6,0,0,00:13,32:50,2,0.0,0.0,0,0,0,0,08:28,14,0,0,52,20:45,16:25,04:14,00:06,0.0
NYR,Ryan Reaves,1987-01-20,35,Winnipeg,CAN,CAN,"6' 2""",225,True,False,False,False,R,Y,75,RW,30:28,0,0,5,0,4,13,0,0,00:00,30:28,5,0.0,0.0,0,0,0,0,00:00,4,-1,0,42,07:37,07:37,00:00,00:00,0.0
NYR,Chris Kreider,1991-04-30,31,Boxford,USA,USA,"6' 3""",226,True,False,True,False,L,Y,20,LW,76:49,1,2,2,12,4,4,1,2,18:32,51:29,2,100.0,16.7,0,0,0,0,06:48,2,1,3,86,19:12,12:52,01:42,04:38,2.34375
NYR,Vincent Trocheck,1993-07-11,29,Pittsburgh,USA,USA,"5' 11""",184,True,False,False,False,R,Y,16,C,81:15,3,2,2,17,4,3,1,2,18:45,56:58,2,53.13,11.8,0,0,0,0,05:32,2,-1,5,81,20:18,14:14,01:23,04:41,3.6945812807881775
NYR,Mika Zibanejad,1993-04-18,29,Stockholm,SWE,SWE,"6' 2""",202,True,False,True,False,R,Y,93,C,83:55,4,4,0,24,4,2,3,5,18:31,56:13,0,52.17,16.7,1,0,1,1,09:11,2,2,8,87,20:58,14:03,02:17,04:37,5.723370429252783
NYR,Barclay Goodrow,1993-02-26,29,Toronto,CAN,CAN,"6' 2""",204,True,False,True,False,L,Y,21,C,59:04,1,1,4,9,4,4,0,0,00:53,50:01,4,52.17,11.1,0,0,0,0,08:10,1,2,2,76,14:46,12:30,02:02,00:13,2.0316027088036117
NYR,Jacob Trouba,1994-02-26,28,Rochester,USA,USA,"6' 3""",203,True,True,False,False,R,Y,8,D,88:03,2,0,2,16,4,13,0,0,04:13,71:29,2,0.0,0.0,0,0,0,1,12:21,9,6,2,102,22:00,17:52,03:05,01:03,1.3636363636363638
NYR,Jimmy Vesey,1993-05-26,29,Boston,USA,USA,"6' 3""",202,True,False,False,False,L,Y,26,LW,51:03,0,0,0,3,4,5,0,0,00:53,45:54,0,0.0,0.0,0,0,0,0,04:16,3,1,0,66,12:45,11:28,01:04,00:13,0.0
NYR,Ryan Carpenter,1991-01-18,31,Oviedo,USA,USA,"6' 1""",198,True,False,False,False,R,Y,22,C,25:33,1,0,2,2,3,6,0,0,00:54,20:18,2,66.67,0.0,0,0,0,0,04:21,0,-1,1,39,08:31,06:46,01:27,00:18,2.348336594911937
NYR,Sammy Blais,1996-06-17,26,Montmagny,CAN,CAN,"6' 2""",206,True,False,False,False,L,Y,91,LW,13:34,0,0,0,3,1,3,0,0,00:00,13:34,0,0.0,0.0,0,0,0,0,00:00,0,0,0,15,13:34,13:34,00:00,00:00,0.0
NYR,Dryden Hunt,1995-11-24,26,Cranbrook,CAN,CAN,"6' 0""",193,True,False,False,False,L,Y,29,LW,26:28,0,1,2,2,3,11,0,0,00:26,26:02,2,0.0,50.0,0,0,0,0,00:00,2,-1,1,35,08:49,08:40,00:00,00:08,2.268431001890359
NYR,Artemi Panarin,1991-10-30,30,Korkino,RUS,RUS,"6' 0""",173,True,False,True,False,R,Y,10,LW,76:34,8,2,2,10,4,3,0,5,18:25,57:59,2,0.0,20.0,1,0,0,0,00:10,1,-1,10,74,19:08,14:29,00:02,04:36,7.839721254355402
NYR,Adam Fox,1998-02-17,24,Jericho,USA,USA,"5' 11""",182,True,False,False,False,R,Y,23,D,94:57,4,1,2,8,4,1,0,1,18:22,67:33,2,0.0,12.5,0,0,0,0,09:02,5,0,5,99,23:44,16:53,02:15,04:35,3.1601123595505616
NYR,Ryan Lindgren,1998-02-11,24,Burnsville,USA,USA,"6' 0""",190,True,False,False,False,L,Y,55,D,75:15,2,0,4,8,4,5,0,0,00:05,64:29,4,0.0,0.0,0,0,0,0,10:41,7,-1,2,97,18:48,16:07,02:40,00:01,1.5957446808510638
NYR,Libor Hajek,1998-02-04,24,Smrcek,CZE,CZE,"6' 2""",209,True,False,False,False,L,Y,25,D,13:45,0,0,0,2,1,1,0,0,00:00,13:45,0,0.0,0.0,0,0,0,0,00:00,1,0,0,19,13:45,13:45,00:00,00:00,0.0
NYR,Filip Chytil,1999-09-05,23,Kromeriz,CZE,CZE,"6' 2""",204,True,False,False,False,L,Y,72,C,58:31,1,1,6,6,4,6,0,0,04:17,54:14,6,55.56,16.7,1,0,0,0,00:00,4,2,2,65,14:37,13:33,00:00,01:04,2.0524515393386547
NYR,K'Andre Miller,2000-01-21,22,St. Paul,USA,USA,"6' 5""",215,True,False,False,False,L,Y,79,D,87:41,2,0,2,9,4,8,0,0,01:02,76:09,2,0.0,0.0,0,0,0,1,10:30,4,3,2,102,21:55,19:02,02:37,00:15,1.3688212927756653
NYR,Vitali Kravtsov,1999-12-23,22,Vladivostok,RUS,RUS,"6' 3""",186,True,False,False,True,L,Y,74,RW,01:28,0,0,0,0,1,0,0,0,00:00,01:28,0,0.0,0.0,0,0,0,0,00:00,0,0,0,3,01:28,01:28,00:00,00:00,0.0
NYR,Kaapo Kakko,2001-02-13,21,Turku,FIN,FIN,"6' 2""",206,True,False,False,False,L,Y,24,RW,61:59,0,2,0,9,4,4,0,0,04:36,56:56,0,0.0,22.2,0,0,0,0,00:27,4,1,2,75,15:29,14:14,00:06,01:09,1.93756727664155
NYR,Zac Jones,2000-10-18,22,Richmond,USA,USA,"5' 10""",178,True,False,False,False,L,Y,6,D,45:54,0,0,2,1,3,0,0,0,04:20,41:25,2,0.0,0.0,0,0,0,0,00:09,2,-1,0,52,15:18,13:48,00:03,01:26,0.0
NYR,Braden Schneider,2001-09-20,21,Prince Albert,CAN,CAN,"6' 3""",208,True,False,False,False,R,Y,4,D,55:54,0,0,0,2,4,4,0,0,01:19,53:38,0,0.0,0.0,0,0,0,0,00:57,3,0,0,68,13:58,13:24,00:14,00:19,0.0
NYR,Alexis Lafrenière,2001-10-11,21,St-Eustache,CAN,CAN,"6' 1""",195,True,False,False,False,L,Y,13,LW,66:22,2,1,0,15,4,7,0,0,03:57,61:09,0,50.0,6.7,0,0,0,0,01:16,0,1,3,76,16:35,15:17,00:19,00:59,2.71356783919598
PHI,Ryan Ellis,1991-01-03,31,Hamilton,CAN,CAN,"5' 10""",180,True,False,False,False,R,I,94,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Sean Couturier,1992-12-07,29,Phoenix,USA,CAN,"6' 3""",211,True,False,False,False,L,Y,14,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Rasmus Ristolainen,1994-10-27,27,Turku,FIN,FIN,"6' 4""",221,True,False,False,False,R,I,55,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Owen Tippett,1999-02-16,23,Peterborough,CAN,CAN,"6' 1""",207,True,False,False,False,R,I,74,RW,04:20,0,0,2,0,1,1,0,0,01:07,03:13,2,100.0,0.0,0,0,0,0,00:00,1,0,0,7,04:20,03:13,00:00,01:07,0.0
PHI,Justin Braun,1987-02-10,35,Minneapolis,USA,USA,"6' 2""",205,True,False,False,False,R,Y,61,D,35:20,0,0,2,2,2,1,0,0,00:23,29:23,2,0.0,0.0,0,0,0,0,05:34,3,0,0,56,17:40,14:41,02:47,00:11,0.0
PHI,James van Riemsdyk,1989-05-04,33,Middletown,USA,USA,"6' 3""",208,True,False,False,False,L,Y,25,LW,34:50,3,0,4,3,2,1,0,1,08:10,26:40,4,0.0,0.0,0,0,0,0,00:00,1,2,3,44,17:25,13:20,00:00,04:05,5.167464114832535
PHI,Cam Atkinson,1989-06-05,33,Riverside,USA,USA,"5' 8""",176,True,False,False,False,R,Y,89,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Nicolas Deslauriers,1991-02-22,31,LaSalle,CAN,CAN,"6' 1""",220,True,False,False,False,L,Y,44,LW,16:45,0,0,5,1,2,8,0,0,00:11,14:27,5,0.0,0.0,0,0,0,0,02:07,1,0,0,28,08:22,07:13,01:03,00:05,0.0
PHI,Kevin Hayes,1992-05-08,30,Dorchester,USA,USA,"6' 5""",216,True,False,False,False,L,Y,13,C,40:57,3,0,0,5,2,1,0,2,08:32,28:10,0,52.94,0.0,0,0,0,0,04:15,0,-1,3,58,20:28,14:05,02:07,04:16,4.397394136807818
PHI,Nick Seeler,1993-06-03,29,Eden Prairie,USA,USA,"6' 2""",201,True,False,False,False,L,Y,24,D,26:53,0,0,0,1,2,5,0,0,00:11,25:06,0,0.0,0.0,0,0,0,0,01:36,3,-2,0,39,13:26,12:33,00:48,00:05,0.0
PHI,Scott Laughton,1994-05-30,28,Oakville,CAN,CAN,"6' 1""",190,True,False,False,False,L,Y,21,C,32:24,0,1,4,6,2,4,0,0,04:48,22:43,4,25.0,16.7,0,0,1,1,04:53,0,1,1,50,16:12,11:21,02:26,02:24,1.8518518518518519
PHI,Travis Sanheim,1996-03-29,26,Elkhorn,CAN,CAN,"6' 3""",181,True,False,False,False,L,Y,6,D,40:57,0,0,0,2,2,2,0,0,00:50,33:25,0,0.0,0.0,0,0,0,0,06:42,5,1,0,60,20:28,16:42,03:21,00:25,0.0
PHI,Tony DeAngelo,1995-10-24,26,Sewell,USA,USA,"5' 11""",180,True,False,False,False,R,Y,77,D,50:57,2,1,2,4,2,0,1,2,09:05,34:21,2,0.0,25.0,0,0,0,0,07:31,6,4,3,64,25:28,17:10,03:45,04:32,3.5340314136125657
PHI,Louie Belpedio,1996-05-14,26,Skokie,USA,USA,"5' 11""",197,True,False,False,False,R,Y,37,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Travis Konecny,1997-03-11,25,London,CAN,CAN,"5' 10""",175,True,False,False,False,R,Y,11,RW,37:36,1,3,0,6,2,3,1,1,07:59,25:47,0,0.0,50.0,1,0,0,1,03:50,2,1,4,53,18:48,12:53,01:55,03:59,6.382978723404255
PHI,Ivan Provorov,1997-01-13,25,Yaroslavl,RUS,RUS,"6' 1""",201,True,False,False,False,L,Y,9,D,45:43,3,0,0,9,2,9,0,0,01:14,35:51,0,0.0,0.0,0,0,0,0,08:38,11,5,3,59,22:51,17:55,04:19,00:37,3.9387308533916845
PHI,Wade Allison,1997-10-14,25,Carman,CAN,CAN,"6' 2""",205,True,False,False,True,R,Y,57,RW,30:24,0,1,2,5,2,3,0,0,03:55,26:29,2,0.0,20.0,0,0,0,0,00:00,1,1,1,44,15:12,13:14,00:00,01:57,1.9736842105263157
PHI,Tanner Laczynski,1997-06-01,25,Minooka,USA,USA,"6' 1""",190,True,False,False,True,R,Y,58,C,23:19,2,0,0,1,2,0,0,0,00:19,22:08,0,50.0,0.0,0,0,0,0,00:52,0,1,2,34,11:39,11:04,00:26,00:09,5.150214592274678
PHI,Zack MacEwen,1996-07-08,26,Charlottetown,CAN,CAN,"6' 3""",205,True,False,False,False,R,Y,17,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Morgan Frost,1999-05-14,23,Aurora,CAN,CAN,"5' 11""",170,True,False,False,False,L,Y,48,C,30:04,0,2,2,4,2,6,0,0,04:49,24:49,2,50.0,50.0,1,0,0,0,00:26,3,2,2,44,15:02,12:24,00:13,02:24,3.9911308203991127
PHI,Noah Cates,1999-02-05,23,Stillwater,USA,USA,"6' 1""",165,True,False,False,True,L,Y,49,LW,39:13,0,0,0,2,2,4,0,0,05:00,27:16,0,36.59,0.0,0,0,0,0,06:57,2,1,0,58,19:36,13:38,03:28,02:30,0.0
PHI,Olle Lycksell,1999-08-24,23,Oskarshamn,SWE,SWE,"5' 10""",163,True,False,False,True,L,Y,62,RW,09:02,0,0,2,0,1,0,0,0,00:00,09:02,2,0.0,0.0,0,0,0,0,00:00,0,0,0,10,09:02,09:02,00:00,00:00,0.0
PHI,Joel Farabee,2000-02-25,22,Syracuse,USA,USA,"6' 0""",183,True,False,False,False,L,Y,86,LW,41:44,0,0,0,4,2,1,0,0,07:59,27:14,0,0.0,0.0,0,0,0,0,06:31,2,0,0,54,20:52,13:37,03:15,03:59,0.0
PHI,Egor Zamula,2000-03-30,22,Chelyabinsk,RUS,RUS,"6' 3""",177,True,False,False,True,L,Y,54,D,28:07,0,0,0,0,2,1,0,0,02:43,25:24,0,0.0,0.0,0,0,0,0,00:00,0,-2,0,38,14:03,12:42,00:00,01:21,0.0
PHI,Jackson Cates,1997-09-26,25,Stillwater,USA,USA,"6' 0""",190,True,False,False,True,L,Y,59,C,06:59,0,0,0,1,1,1,0,0,00:11,06:48,0,25.0,0.0,0,0,0,0,00:00,1,0,0,9,06:59,06:48,00:00,00:11,0.0
PIT,Mark Friedman,1995-12-25,26,Toronto,CAN,CAN,"5' 11""",185,True,False,False,False,R,Y,52,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Jeff Carter,1985-01-01,37,London,CAN,CAN,"6' 3""",219,True,False,False,False,R,Y,77,C,47:05,2,1,2,8,3,3,0,1,07:23,34:48,2,61.36,12.5,0,0,0,0,04:54,3,1,3,69,15:41,11:36,01:38,02:27,3.825717321997875
PIT,Evgeni Malkin,1986-07-31,36,Magnitogorsk,RUS,RUS,"6' 3""",195,True,False,True,False,L,Y,71,C,54:03,1,3,4,17,3,0,1,2,12:05,41:51,4,65.12,17.6,0,0,0,0,00:07,2,4,4,59,18:01,13:57,00:02,04:01,4.440333024976873
PIT,Sidney Crosby,1987-08-07,35,Cole Harbour,CAN,CAN,"5' 11""",200,True,True,False,False,L,Y,87,C,56:37,4,2,2,10,3,3,0,3,12:19,44:06,2,50.0,20.0,0,0,0,0,00:12,0,1,6,73,18:52,14:42,00:04,04:06,6.360424028268551
PIT,Kris Letang,1987-04-24,35,Montréal,CAN,CAN,"6' 0""",201,True,False,True,False,R,Y,58,D,71:06,3,0,0,3,3,6,0,1,13:56,54:43,0,0.0,0.0,0,0,0,0,02:27,6,2,3,79,23:42,18:14,00:49,04:38,2.5316455696202533
PIT,Jeff Petry,1987-12-09,34,Ann Arbor,USA,USA,"6' 3""",209,True,False,False,False,R,Y,26,D,66:25,1,0,8,6,3,9,0,0,05:44,55:36,8,0.0,0.0,0,0,0,0,05:05,9,2,1,80,22:08,18:32,01:41,01:54,0.9036144578313252
PIT,Brian Dumoulin,1991-09-06,31,Biddeford,USA,USA,"6' 4""",207,True,False,False,False,L,Y,8,D,59:01,1,0,0,3,3,4,0,0,00:00,47:33,0,0.0,0.0,0,0,0,0,11:28,8,3,1,81,19:40,15:51,03:49,00:00,1.0169491525423728
